model,toolset_size,retrieval,invocation,ambiguous,direct,distractor,no_tool
deepseek-v4-flash,10,full,native,0.6875,0.9375,0.8125,1.0
deepseek-v4-flash,30,full,native,0.5,0.875,0.75,1.0
deepseek-v4-flash,50,embedding,native,0.6,0.9875,0.8875,1.0
deepseek-v4-flash,50,full,code_action,0.9375,1.0,1.0,1.0
deepseek-v4-flash,50,full,json_prompt,0.8875,0.9625,0.95,1.0
deepseek-v4-flash,50,full,native,0.475,0.875,0.75,1.0
deepseek-v4-flash,50,hybrid,native,0.6875,1.0,0.8375,1.0
deepseek-v4-flash,50,random,native,0.0875,0.0,0.125,1.0
deepseek-v4-flash,50,two_stage,native,0.4875,0.925,0.7625,0.9375
gemma-4-e4b,10,full,native,0.375,0.6875,0.75,1.0
gemma-4-e4b,30,full,native,0.375,0.6875,0.75,1.0
gemma-4-e4b,50,embedding,native,0.4375,0.875,0.75,1.0
gemma-4-e4b,50,full,code_action,0.5,0.8625,0.925,1.0
gemma-4-e4b,50,full,json_prompt,0.4375,0.7,0.75,1.0
gemma-4-e4b,50,full,native,0.375,0.75,0.7375,1.0
gemma-4-e4b,50,hybrid,native,0.5,0.875,0.75,1.0
gemma-4-e4b,50,random,native,0.0,0.0,0.125,1.0
gemma-4-e4b,50,two_stage,native,0.3125,0.5,0.5,1.0
